Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,GarageYrBlt_NA
1471,120,RH,5858,Pave,cat_NA,IR1,Lvl,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,1051,BLQ,0,354,7.2485040723706105,GasA,Ex,Y,SBrkr,7.198931240688173,0,0,7.198931240688173,1,0,2,0,2,1,Gd,5,Typ,1,Fa,Attchd,1999,Fin,2,6.238324625039508,TA,TA,Y,203,68,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1472,160,RM,1680,Pave,cat_NA,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504,TA,TA,CBlock,TA,TA,No,Rec,156,Unf,0,327,6.182084906716632,GasA,TA,Y,SBrkr,6.182084906716632,504,0,6.895682697747868,0,0,1,1,2,1,TA,5,Typ,0,cat_NA,Detchd,1971,Unf,1,5.579729825986222,TA,TA,Y,275,0,0,0,0,0,cat_NA,cat_NA,cat_NA,0,2,2010,COD,Normal,,0
1473,160,RM,1680,Pave,cat_NA,Reg,Lvl,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492,TA,TA,CBlock,TA,TA,No,Rec,300,Unf,0,225,6.26530121273771,GasA,TA,Y,SBrkr,6.26530121273771,567,0,6.996681488176539,0,0,1,1,3,1,TA,6,Typ,0,cat_NA,Detchd,1997,Unf,1,5.771441123130016,TA,TA,Y,0,0,0,0,0,0,cat_NA,cat_NA,cat_NA,0,3,2010,WD,Normal,,0
1474,160,RL,2280,Pave,cat_NA,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,TA,TA,No,ALQ,514,Unf,0,341,6.752270376141742,GasA,TA,Y,SBrkr,6.752270376141742,601,0,7.284134806195205,0,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,1975,Unf,2,6.089044875446846,TA,TA,Y,173,0,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1475,120,RL,2280,Pave,cat_NA,Reg,Lvl,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,0,836,6.729824070489475,GasA,Ex,Y,SBrkr,6.729824070489475,0,0,6.729824070489475,0,0,1,0,2,1,TA,4,Typ,0,cat_NA,Attchd,1975,Unf,1,5.733341276897746,TA,TA,Y,0,30,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1476,60,RL,12858,Pave,cat_NA,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162,Ex,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1590,7.372118028337787,GasA,Ex,Y,SBrkr,7.395107546562485,707,0,7.755767170102998,0,0,2,1,3,1,Ex,10,Typ,1,Gd,Attchd,2009,Fin,3,6.62273632394984,TA,TA,Y,144,133,0,0,0,0,cat_NA,cat_NA,cat_NA,0,1,2010,New,Partial,,0
1477,20,RL,12883,Pave,cat_NA,IR1,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1544,7.3427791893318455,GasA,Ex,Y,SBrkr,7.3427791893318455,0,0,7.3427791893318455,0,0,2,0,3,1,Gd,7,Typ,0,cat_NA,Attchd,2009,RFn,3,6.767343125265392,TA,TA,Y,0,35,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,New,Partial,,0
1478,20,RL,11520,Pave,cat_NA,Reg,Lvl,Inside,Gtl,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,615,Gd,TA,PConc,Ex,TA,No,GLQ,110,Unf,0,1588,7.4377951216719325,GasA,Ex,Y,SBrkr,7.4377951216719325,0,0,7.4377951216719325,0,0,2,0,3,1,Ex,7,Typ,1,Gd,Attchd,2005,Fin,3,6.594413459749778,TA,TA,Y,192,74,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1479,20,RL,14122,Pave,cat_NA,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240,Gd,TA,PConc,Ex,TA,No,GLQ,28,Unf,0,1794,7.508238774678663,GasA,Ex,Y,SBrkr,7.508238774678663,0,0,7.508238774678663,0,0,2,0,3,1,Ex,8,Typ,1,Gd,Attchd,2005,RFn,3,6.520621127558696,TA,TA,Y,0,119,0,0,0,0,cat_NA,cat_NA,cat_NA,0,2,2010,WD,Normal,,0
1480,20,RL,14300,Pave,cat_NA,Reg,HLS,Inside,Mod,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,1095,Ex,TA,PConc,Ex,TA,Gd,GLQ,1373,Unf,0,1473,7.954021087278037,GasA,Ex,Y,SBrkr,7.89989532313973,0,0,7.89989532313973,1,0,2,1,3,1,Ex,10,Typ,2,Gd,Attchd,2003,Fin,3,6.8658910748834385,TA,TA,Y,220,150,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1481,60,RL,13650,Pave,cat_NA,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232,Gd,TA,PConc,Gd,TA,Gd,GLQ,578,Unf,0,1093,7.421775793644647,GasA,Ex,Y,SBrkr,7.431299675155903,563,0,7.719129840906732,1,0,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,2002,Fin,3,6.6293632534374485,TA,TA,Y,238,130,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1482,120,RL,7132,Pave,cat_NA,IR1,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178,Gd,TA,PConc,Gd,TA,Mn,GLQ,24,Unf,0,1346,7.223295679562314,GasA,Ex,Y,SBrkr,7.223295679562314,0,0,7.223295679562314,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006,RFn,2,6.184148890937483,TA,TA,Y,120,49,0,0,0,0,cat_NA,cat_NA,cat_NA,0,4,2010,WD,Normal,,0
1483,20,RL,18494,Pave,cat_NA,IR1,Lvl,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1324,7.1891677384203225,GasA,Ex,Y,SBrkr,7.1891677384203225,0,0,7.1891677384203225,0,0,2,0,3,1,Gd,6,Typ,0,cat_NA,Attchd,2005,Fin,2,6.066108090103747,TA,TA,Y,36,23,0,0,0,0,cat_NA,cat_NA,cat_NA,0,1,2010,WD,Normal,,0
1484,120,RL,3203,Pave,cat_NA,Reg,Lvl,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14,Gd,TA,PConc,Gd,TA,Av,GLQ,16,Unf,0,1129,7.044032897274685,GasA,Ex,Y,SBrkr,7.044032897274685,0,0,7.044032897274685,0,0,2,0,2,1,Gd,6,Typ,0,cat_NA,Attchd,2006,Fin,2,6.082218910376446,TA,TA,Y,100,116,0,0,0,0,cat_NA,cat_NA,cat_NA,0,1,2010,WD,Normal,,0
1485,80,RL,13300,Pave,cat_NA,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,326,Unf,0,58,5.953243334287785,GasA,Ex,Y,SBrkr,6.61338421837956,630,0,7.226209010100671,1,0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004,Fin,2,5.993961427306569,TA,TA,Y,100,0,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1486,60,RL,8577,Pave,cat_NA,IR1,Lvl,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,847,6.742880635791903,GasA,Ex,Y,SBrkr,6.742880635791903,886,0,7.458186157340487,0,0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004,Fin,2,6.073044534100405,TA,TA,Y,144,48,0,0,0,0,cat_NA,cat_NA,cat_NA,0,4,2010,WD,Normal,,0
1487,60,RL,17433,Pave,cat_NA,IR2,Lvl,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1998,1998,Hip,CompShg,VinylSd,VinylSd,BrkFace,114,Gd,TA,PConc,Ex,TA,No,Unf,0,Unf,0,1629,7.396335293800808,GasA,Ex,Y,SBrkr,7.406103381237015,830,0,7.814399633804487,0,0,2,1,4,1,Gd,7,Typ,1,TA,Attchd,1998,Fin,3,6.870053411798126,TA,TA,Y,23,172,0,0,256,0,cat_NA,cat_NA,cat_NA,0,1,2010,WD,Normal,,0
1488,20,RL,8987,Pave,cat_NA,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226,Gd,TA,PConc,Gd,TA,cat_NA,Unf,0,Unf,0,1595,7.375255778009754,GasA,Ex,Y,SBrkr,7.375255778009754,0,0,7.375255778009754,0,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2005,RFn,3,6.78105762593618,TA,TA,Y,144,0,0,0,0,0,cat_NA,cat_NA,cat_NA,0,5,2010,WD,Normal,,0
1489,20,FV,9215,Pave,cat_NA,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,1218,7.105786129481271,GasA,Ex,Y,SBrkr,7.105786129481271,0,0,7.105786129481271,0,0,2,0,2,1,Gd,4,Typ,0,cat_NA,Attchd,2009,RFn,2,6.517671272912275,TA,TA,Y,0,136,0,0,0,0,cat_NA,cat_NA,cat_NA,0,4,2010,New,Partial,,0
1490,20,FV,10440,Pave,cat_NA,Reg,Lvl,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Ex,TA,No,GLQ,1414,Unf,0,54,7.292337176173877,GasA,Ex,Y,SBrkr,7.292337176173877,0,0,7.292337176173877,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2005,Fin,2,6.270988431858299,TA,TA,Y,0,102,0,0,216,0,cat_NA,cat_NA,cat_NA,0,5,2010,WD,Normal,,0
1491,60,RL,11920,Pave,cat_NA,Reg,Lvl,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122,Gd,TA,PConc,Gd,TA,Av,Unf,0,Unf,0,831,6.723832440821209,GasA,Ex,Y,SBrkr,6.723832440821209,828,0,7.414572881350589,0,0,2,1,3,1,Gd,8,Typ,0,cat_NA,Attchd,2004,RFn,2,6.184148890937483,TA,TA,Y,144,68,0,0,0,0,cat_NA,cat_NA,cat_NA,0,4,2010,WD,Normal,,0
1492,30,RH,9800,Pave,cat_NA,Reg,Lvl,Corner,Gtl,SawyerW,Feedr,Norm,1Fam,1Story,5,5,1920,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,Fa,BrkTil,TA,TA,No,Unf,0,Unf,0,816,6.705639094860003,GasA,TA,N,FuseA,6.920671504248683,0,0,6.920671504248683,0,0,1,0,2,1,TA,5,Typ,0,cat_NA,Detchd,1920,Unf,1,6.063785208687608,TA,TA,Y,121,0,80,0,0,0,cat_NA,cat_NA,cat_NA,0,4,2010,WD,Normal,,0
1493,20,RL,15410,Pave,cat_NA,IR1,Lvl,CulDSac,Gtl,Sawyer,RRNe,Norm,1Fam,1Story,6,6,1974,2002,Hip,CompShg,Plywood,Plywood,BrkCmn,250,TA,Gd,CBlock,TA,TA,Gd,BLQ,126,GLQ,859,223,7.097548850614793,GasA,Ex,Y,SBrkr,7.3098814858247865,0,0,7.3098814858247865,1,0,2,0,3,1,TA,7,Typ,2,Fa,Attchd,1974,Fin,2,6.135564891081739,TA,TA,Y,296,0,186,0,0,0,cat_NA,GdPrv,cat_NA,0,4,2010,WD,Abnorml,,0
1494,60,RL,13143,Pave,cat_NA,IR1,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1993,1993,Gable,CompShg,HdBoard,ImStucc,BrkFace,504,Gd,TA,PConc,Gd,TA,No,LwQ,250,GLQ,981,0,7.116394144093465,GasA,Ex,Y,SBrkr,7.132497551660044,1098,0,7.762170607138205,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,1993,RFn,3,6.637258031284457,TA,TA,Y,32,130,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1495,60,RL,11134,Pave,cat_NA,Reg,Lvl,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1992,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,180,Gd,TA,PConc,Gd,TA,No,GLQ,1129,Unf,0,261,7.237778191923443,GasA,Ex,Y,SBrkr,7.246368080102461,823,0,7.70796153183549,1,0,2,1,4,1,Gd,7,Typ,1,TA,Attchd,1992,RFn,3,6.570882962339584,TA,TA,Y,198,30,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1496,120,FV,4835,Pave,cat_NA,IR1,Lvl,CulDSac,Gtl,Somerst,Norm,Norm,TwnhsE,1Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Ex,TA,Av,GLQ,1298,Unf,0,190,7.305860032684009,GasA,Ex,Y,SBrkr,7.305860032684009,0,0,7.305860032684009,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2004,Fin,2,6.2285110035911835,TA,TA,Y,168,50,0,0,0,0,cat_NA,cat_NA,cat_NA,0,3,2010,WD,Normal,,0
1497,160,FV,3515,Pave,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,0,840,6.734591659972948,GasA,Ex,Y,SBrkr,6.734591659972948,840,0,7.427144133408616,0,0,2,1,2,1,Gd,3,Typ,0,cat_NA,Attchd,2004,RFn,2,6.3784261836515865,TA,TA,Y,0,111,0,0,0,0,cat_NA,cat_NA,cat_NA,0,1,2010,WD,Normal,,0
1498,160,FV,3215,Pave,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2004,2004,Gable,CompShg,MetalSd,MetalSd,BrkFace,120,Gd,TA,PConc,Gd,TA,Av,GLQ,280,Unf,0,320,6.398594934535208,GasA,Ex,Y,SBrkr,6.398594934535208,600,0,7.0909098220799835,0,0,2,1,2,1,Gd,4,Typ,0,cat_NA,Detchd,2004,RFn,2,6.175867270105761,TA,TA,Y,0,172,0,0,0,0,cat_NA,cat_NA,cat_NA,0,4,2010,ConLD,Normal,,0
1499,160,FV,2544,Pave,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,368,ALQ,42,190,6.398594934535208,GasA,Ex,Y,SBrkr,6.398594934535208,600,0,7.0909098220799835,1,0,2,1,2,1,Gd,4,Typ,0,cat_NA,Detchd,2004,RFn,2,6.175867270105761,TA,TA,Y,0,172,0,0,0,0,cat_NA,cat_NA,cat_NA,0,2,2010,WD,Normal,,0
1500,160,FV,2544,Pave,Pave,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,216,Gd,TA,PConc,Gd,TA,No,GLQ,376,Unf,0,224,6.398594934535208,GasA,Ex,Y,SBrkr,6.398594934535208,636,0,7.1204443723924875,1,0,2,1,2,1,Gd,4,Typ,0,cat_NA,Detchd,2005,RFn,2,6.175867270105761,TA,TA,Y,0,166,0,0,0,0,cat_NA,cat_NA,cat_NA,0,5,2010,WD,Normal,,0
1501,160,FV,2980,Pave,cat_NA,Reg,Lvl,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,1159,Gd,TA,PConc,Gd,TA,No,GLQ,466,Unf,0,290,6.6293632534374485,GasA,Ex,Y,SBrkr,6.6293632534374485,756,0,7.321849713788356,1,0,2,1,2,1,Gd,5,Typ,0,cat_NA,Detchd,2000,Unf,2,6.089044875446846,TA,TA,Y,0,32,0,0,0,0,cat_NA,cat_NA,cat_NA,0,5,2010,WD,Normal,,0
1502,160,FV,2403,Pave,cat_NA,IR1,Lvl,FR2,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,244,Unf,0,286,6.274762021241939,GasA,Ex,Y,SBrkr,6.274762021241939,550,0,6.985641817639208,0,0,2,1,2,1,Gd,4,Typ,0,cat_NA,Attchd,2003,RFn,2,6.208590026096629,TA,TA,Y,0,50,0,0,0,0,cat_NA,cat_NA,cat_NA,0,6,2010,WD,Normal,,0
1503,20,FV,12853,Pave,Pave,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2010,2010,Gable,CompShg,CemntBd,CmentBd,None,0,Gd,TA,PConc,Ex,Po,No,GLQ,1032,Unf,0,610,7.404279118037268,GasA,Ex,Y,SBrkr,7.257707677160043,0,0,7.257707677160043,1,0,1,1,1,1,Gd,6,Typ,1,Gd,Attchd,2010,RFn,3,6.748759547491679,TA,TA,Y,160,192,0,224,0,0,cat_NA,cat_NA,cat_NA,0,4,2010,New,Partial,,0
1504,60,FV,7379,Pave,cat_NA,IR1,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,484,Unf,0,491,6.883462586413092,GasA,Ex,Y,SBrkr,6.883462586413092,873,0,7.522400231387125,1,0,2,1,3,1,Gd,7,Typ,1,TA,Attchd,2000,RFn,2,6.385194398997726,TA,TA,Y,280,184,0,0,0,0,cat_NA,cat_NA,cat_NA,0,4,2010,WD,Normal,,0
1505,20,FV,8000,Pave,cat_NA,Reg,Lvl,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,833,Unf,0,659,7.30854279753919,GasA,Ex,Y,SBrkr,7.30854279753919,0,0,7.30854279753919,1,0,2,0,3,1,Gd,6,Typ,1,Gd,Attchd,2002,RFn,2,6.391917113392602,TA,TA,Y,277,137,0,0,0,0,cat_NA,cat_NA,cat_NA,0,4,2010,WD,Normal,,0
